Date,Open,High,Low,Close,Adj Close,Volume
2019-12-01,1462.932373,1478.978882,1378.859497,1384.345459,1364.656128,187533463
2020-01-01,1387.957031,1471.161377,1286.649048,1290.717773,1272.360229,218563308
2020-02-01,1284.911743,1378.813721,1211.490845,1214.828125,1197.549805,200999269
2020-03-01,1239.012207,1251.721436,800.635437,1018.338074,1003.854431,497583415
2020-04-01,1026.109863,1366.881714,955.660583,1340.411743,1321.347168,518143173
2020-05-01,1340.411743,1476.647339,1285.738525,1351.640747,1332.416504,502610075
2020-06-01,1366.039551,1665.276001,1362.301392,1572.883789,1550.512817,430848141
2020-07-01,1587.559448,2029.491699,1576.529541,1907.932617,1880.796387,667970745
2020-08-01,1893.349243,2026.907227,1846.230103,1920.485474,1900.874634,415228725
2020-09-01,1938.299316,2186.909180,1886.842041,2062.304443,2041.245605,410359779
2020-10-01,2089.486572,2131.206299,1837.692383,1896.302856,1876.938965,281503089
2020-11-01,1870.920288,1933.684326,1693.796753,1781.204834,1763.016235,468283319
2020-12-01,1790.942383,1881.073364,1712.395142,1832.431274,1813.719727,252187810
2021-01-01,1834.923340,1956.759277,1689.089355,1700.119263,1682.758667,325082074
2021-02-01,1716.225586,1986.295288,1705.703369,1925.192749,1905.533936,261242415
2021-03-01,1947.713867,2060.042969,1821.724487,1848.860596,1829.981201,210328441
2021-04-01,1862.613403,1889.288086,1732.193481,1840.922852,1822.124512,163589880
2021-05-01,1814.617310,2022.938354,1759.237427,1993.956177,1973.595215,187187240
2021-06-01,1999.217285,2099.731934,1920.762329,1948.129272,1928.236206,251779029
2021-07-01,1954.913330,1987.725952,1860.998047,1878.581299,1865.880737,107708346
2021-08-01,1896.118286,2107.900391,1883.980835,2084.271729,2070.180664,141040017
2021-09-01,2097.978271,2372.109131,2081.364258,2325.266846,2309.546387,164498211
2021-10-01,2309.299072,2539.495117,2302.884277,2340.958008,2325.131348,116887375
2021-11-01,2340.958008,2401.829834,2131.206299,2220.183350,2205.173096,160618061
2021-12-01,2245.658203,2306.114746,2074.072510,2185.801758,2171.024170,143207891
2022-01-01,2182.894287,2369.616943,2127.514160,2202.831055,2187.938477,137281466
2022-02-01,2222.583252,2267.256348,2070.288330,2177.863770,2163.139893,125550963
2022-03-01,2177.863770,2481.023193,2012.139282,2431.873291,2415.432129,157123812
2022-04-01,2433.027100,2636.225586,2327.620605,2575.399902,2557.988281,147572067
2022-05-01,2549.325195,2589.475586,2187.509277,2429.935059,2413.506836,201872800
2022-06-01,2431.458008,2600.413086,2256.734131,2395.784180,2379.587158,175850377
2022-07-01,2376.631836,2392.415039,2182.894287,2316.221436,2300.562256,213447512
2022-08-01,2325.174561,2470.777832,2314.513916,2434.826904,2418.365723,117601536
2022-09-01,2383.785156,2427.212158,2133.052246,2194.662598,2186.937256,128767111
2022-10-01,2207.353760,2363.756104,2162.680420,2353.280029,2344.996338,102381571
2022-11-01,2399.799072,2534.049561,2309.345215,2521.035156,2512.161133,113125453
2022-12-01,2530.680420,2542.864014,2300.345947,2351.064697,2342.788818,98923710
2023-01-01,2353.649170,2405.337158,2123.822266,2172.602783,2164.955078,142814765
2023-02-01,2196.693115,2274.086670,2116.438232,2143.712891,2136.166992,152855735
2023-03-01,2163.511230,2237.905029,2012.139282,2151.558350,2143.984863,174016839
2023-04-01,2164.434326,2238.228027,2130.791016,2234.120605,2226.256592,104918869
2023-05-01,2234.120605,2342.296387,2227.244385,2279.716797,2271.692139,109284505
2023-06-01,2289.177734,2385.031250,2262.272217,2353.879883,2345.594238,111861802
2023-07-01,2361.079346,2636.087158,2358.587158,2549.250000,2540.276611,208127405
2023-08-01,2555.000000,2582.800049,2399.899902,2407.000000,2398.527344,149237543
2023-09-01,2406.550049,2483.000000,2325.000000,2345.000000,2345.000000,158516918
2023-10-01,2345.000000,2367.000000,2220.300049,2287.899902,2287.899902,102836679
2023-11-01,2289.149902,2411.949951,2275.199951,2377.449951,2377.449951,102857480
2023-12-01,2378.000000,2614.000000,2377.600098,2584.949951,2584.949951,127731315
2024-01-01,2580.550049,2919.949951,2568.949951,2853.250000,2853.250000,129337373
2024-02-01,2870.000000,2999.899902,2836.100098,2921.600098,2921.600098,119405281
2024-03-01,2927.000000,3024.899902,2825.800049,2971.699951,2971.699951,112739349
2024-04-01,2984.949951,2988.000000,2883.000000,2934.000000,2934.000000,109748600
2024-05-01,2934.000000,2984.449951,2768.000000,2860.800049,2860.800049,120310462
2024-06-01,2966.000000,3162.000000,2718.600098,3130.800049,3130.800049,159524853
2024-07-01,3125.050049,3217.600098,2926.000000,3040.199951,3040.199951,105902306
2024-07-30,3034.050049,3050.000000,3020.000000,3026.300049,3026.300049,4110291
